station_id,terminal_id,X_lon,Y_lat,address,postcode,place,area,started,docks,hires,duration
312,1130,-0.17677,51.530889,23 Grove End Rd,NW8 9BN,Grove End Road,St. John's Wood,20120104,20,46345,1532
313,3495,-0.138072,51.517344,Linton House,W1T 3QB,Wells Street,Fitzrovia,20120104,38,82922,1093
314,3485,-0.083159,51.500889,8 Tyers Gate,SE1 3JG,Tyers Gate,Bermondsey,20120104,36,57750,1146
315,1199,-0.153463,51.525367,York Bridge,NW1 4NS,The Tennis Courts,Regent's Park,20120104,16,54549,1821
316,968,-0.141943,51.497684,9-11 Bressenden Pl,SW1E5BH,Cardinal Place,Victoria,20120104,24,95123,1299
317,1208,-0.093913,51.496791,24 Harper Rd,SE1 6RP,Dickens Square,Borough,20120104,32,26777,1009
318,1197,-0.138846,51.510048,23 Sackville St,W1S 3EJ,Sackville Street,Mayfair,20120104,18,58519,1377
319,3500,-0.088542,51.527025,1 Baldwin St,EC1V2NL,Baldwin Street,St. Luke's,20120104,21,58150,931
320,1148,-0.139956,51.493573,215 Vauxhall Bridge Rd,SW1V1TB,Queen Mother Sports Centre,Victoria,20120104,26,80631,1193
321,2637,-0.081608,51.497855,222-244 Bermondsey St,SE1 3UL,Bermondsey Street,Bermondsey,20120104,24,105878,1099
322,3502,-0.073955,51.526293,Rochelle School,E2  7LA,Palissy Street,Shoreditch,20120104,26,35716,1154
323,3501,-0.083067,51.523196,80 Clifton St,EC2A4RJ,Clifton Street,Shoreditch,20120104,24,37591,830
324,1200,-0.101384,51.49652,Ontario St,SE1 6LN,Ontario Street,Elephant & Castle,20120104,15,56531,1129
325,1158,-0.129697,51.509087,London WC2H,WC2H7HG,St. Martin's Street,West End,20120104,18,43887,1494
326,1131,-0.099981,51.532661,242 Graham St,N1  8LB,Graham Street,Angel,20120104,26,92159,1168
327,1128,-0.085603,51.53095,43-55 New N Rd,N1  6JE,New North Road 1,Hoxton,20120104,22,19406,1358
328,2641,-0.086016,51.53114,47 New N Rd,N1  6TL,New North Road 2,Hoxton,20120104,22,32927,1023
329,2636,-0.160854,51.535892,34 Prince Albert Rd,NW8 7LX,Prince Albert Road,Regent's Park,20120104,24,56344,1587
330,1203,-0.179135,51.516417,20 Eastbourne Terrace,W2  6LQ,Eastbourne Mews,Paddington,20120104,34,62244,1211
331,1211,-0.089887,51.520858,20 Bunhill Row,EC1Y4YX,Bunhill Row,Moorgate,20120104,30,95684,819
